model,n_splits,mean_rank_mean,mean_rank_std,mean_rank_median,first_place_splits,metric_wins_total,acf_l2_mean,acf_l2_std,acf_l2_median,wasserstein_mean,wasserstein_std,wasserstein_median,crps_mean,crps_std,crps_median,spectral_frechet_mean,spectral_frechet_std,spectral_frechet_median
cvae,2,1.25,0.3535533905932738,1.25,2,6,0.3149110404774546,0.0784107832718098,0.3149110404774546,1.7668013267233236,0.17187940055658965,1.7668013267233236,4.358975475047806,1.8807894945945298,4.358975475047806,498.43136220333406,140.95335892378392,498.43136220333406
historical,2,1.75,0.3535533905932738,1.75,0,2,0.30677280258387324,0.0431105975784438,0.30677280258387324,1.851861215457651,0.2676166219842244,1.851861215457651,4.358531442737803,1.885284529154203,4.358531442737803,649.6360772410172,32.604679989681294,649.6360772410172
diffusion,2,3.375,0.5303300858899106,3.375,0,0,0.42915871031582353,0.08076352493255573,0.42915871031582353,2.4644366342413546,0.6271526285571246,2.4644366342413546,4.580192206893795,1.9631237092287739,4.580192206893795,792.9984834747218,19.534753482817766,792.9984834747218
rf,2,3.625,0.5303300858899106,3.625,0,0,0.4131836771965026,0.045937118812163544,0.4131836771965026,2.4435720828772443,0.6719767280902543,2.4435720828772443,4.573784566398315,1.985651942448337,4.573784566398315,955.2105784301858,60.42422030310211,955.2105784301858
