meter_split_seed,run_tag,robustness_run,result_dir,model,cluster,day_type,condition,n_real,n_synthetic,n_empirical_meta,acf_l2,crps,spectral_frechet,wasserstein
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,diffusion,3,weekend,cluster3_weekend,55,200,4,0.222249835729599,3.581146847936963,578.5224741608981,2.328540114276173
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,diffusion,4,weekday,cluster4_weekday,58,200,4,0.5144858360290527,4.580330415610198,2001.9378848486867,3.22683591971645
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,diffusion,4,weekend,cluster4_weekend,18,200,4,0.4819088578224182,7.516993002101338,843.552406930309,2.77334219650108
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,rf,0,weekday,cluster0_weekday,304,200,4,0.698582112789154,7.796861872052675,3042.097615710654,5.052034620459854
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,rf,0,weekend,cluster0_weekend,221,200,4,0.3285654485225677,7.499474865280274,398.90370940263495,3.283724257306243
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,rf,2,weekday,cluster2_weekday,272,200,4,0.3575279414653778,4.2749457673761775,483.7959952646808,2.3635393030705365
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,rf,2,weekend,cluster2_weekend,134,200,4,0.2784874439239502,7.129863127265884,352.8314651720322,2.6995992788188232
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,rf,3,weekday,cluster3_weekday,424,200,4,0.1864984929561615,5.693952474019025,397.76563335986526,2.534715614839707
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,rf,3,weekend,cluster3_weekend,55,200,4,0.2706497013568878,3.516423341532368,514.5071429666134,1.9638920582898292
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,rf,4,weekday,cluster4_weekday,58,200,4,0.5667586922645569,4.474165406032335,2290.0008557181786,3.07382266705759
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,rf,4,weekend,cluster4_weekend,18,200,4,0.3585399985313415,7.4371333062794465,503.5932172406942,2.3785232730327137
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,cvae,0,weekday,cluster0_weekday,304,200,4,0.1447811871767044,6.567432801715323,331.7981665419617,1.6790815397241154
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,cvae,0,weekend,cluster0_weekend,221,200,4,0.1448463201522827,7.084392629369481,253.9871281993068,1.3087199706510149
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,cvae,2,weekday,cluster2_weekday,272,200,4,0.6218180656433105,4.327629006196237,1057.734419827763,2.462685313151252
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,cvae,2,weekend,cluster2_weekend,134,200,4,0.4311612844467163,7.1247133022646185,360.0925357626077,2.5318572381163764
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,cvae,3,weekday,cluster3_weekday,424,200,4,0.1084738373756408,5.501567727150857,189.4285987254397,1.4233705106685253
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,cvae,3,weekend,cluster3_weekend,55,200,4,0.1403567045927047,3.3357565323077365,335.3155206923383,1.584107343864001
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,cvae,4,weekday,cluster4_weekday,58,200,4,0.2904353141784668,4.193048795112317,364.8756330825172,2.102772731948737
42,seed042,False,/home/nicola/Desktop/Supsi/tesina/output/05/results,cvae,4,weekend,cluster4_weekend,18,200,4,0.1938572376966476,7.376615051163568,296.86628738650654,2.0141126831013154
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,0,weekday,cluster0_weekday,278,200,4,0.1399690210819244,3.067413868722005,138.05523512320417,0.9521170353809792
5,seed005,True,/home/nicola/Desktop/Supsi/tesina/output/robustness/seed005/05/results,historical,0,weekend,cluster0_weekend,36,200,4,0.2731214761734009,2.303082268490284,469.3805606725081,1.3956352858257854
