model,acf_l2,wasserstein,crps,spectral_frechet
cvae,1.0981425974299934,0.989556621495252,1.001197349460435,0.889116069726752
diffusion,1.4418313790461705,1.215529353440768,1.0550731411961891,1.1583107973238473
historical,1.0,1.0,1.0,1.0
rf,1.3214452361648,1.183916758205993,1.0476899005729878,1.3564684392429172
