model,acf_l2,wasserstein,crps,spectral_frechet,mean_rank,wins,n_conditions_used,n_conditions_possible
cvae,0.3703558370471,1.6452642370434802,3.029056469435594,598.100438129363,1.5,2,10,10
diffusion,0.4862671464681625,2.020972757749644,3.1920541197900407,779.1853268182138,3.75,0,10,10
historical,0.3372565984725952,1.662627687294369,3.0254339677067787,672.6910675601382,1.5,2,10,10
rf,0.4456661254167556,1.9684127816450767,3.1697166128168552,912.4842025059525,3.25,0,10,10
