model,gpu_profile,train_instances,val_instances,total_steps,params_M,final_train_loss,final_val_loss,generalization_gap
diffusion,True,7440,1488,5800,1.106274,0.24354812888235883,0.29593420997262,0.05238608109026116
rf,True,7440,1488,5800,1.106274,0.6327992657135273,0.7515435993671418,0.11874433365361448
cvae,True,7440,1488,5800,0.286296,0.13165258474904915,0.2066002868115902,0.07494770206254106
