model,acf_l2,wasserstein,crps,spectral_frechet
cvae,0.9391117186001404,0.9251596097167083,0.9995195686246737,0.6364097075387963
diffusion,1.346598182149148,1.4246768896060191,1.0486154983443985,1.2876412278811717
historical,1.0,1.0,1.0,1.0
rf,1.3779094345085672,1.4299832936375791,1.0502885213260087,1.592670087213808
