quantile,temp_normed,syn_mean_total_Wh,syn_std_total_Wh
0.1,-0.9830828905105591,448.712890625,1.2857401371002197
0.25,-0.715292751789093,448.2192077636719,1.1223993301391602
0.5,-0.22541338205337524,447.7491149902344,1.143532633781433
0.75,0.42623235285282135,446.47796630859375,1.3729758262634277
0.9,0.6406690359115601,446.33172607421875,1.3738855123519897
real_bin0,-1.104759693145752,597.9307250976562,69.70458221435547
real_bin1,-0.6168326139450073,514.7271728515625,38.662078857421875
real_bin2,-0.2446622997522354,429.00750732421875,55.7365837097168
real_bin3,0.21094688773155212,392.870849609375,29.53103256225586
real_bin4,0.6797934770584106,352.6637878417969,14.516887664794922
