model,gpu_profile,train_instances,val_instances,total_steps,params_M,final_train_loss,final_val_loss,generalization_gap
diffusion,True,7440,1488,5800,1.106274,0.2450335691201275,0.2729120023548603,0.0278784332347327
rf,True,7440,1488,5800,1.106274,0.6363654537447567,0.737966713309288,0.1016012595645312
cvae,True,7440,1488,5800,0.286296,0.1316568150088705,0.146649108082056,0.0149922930731855
