model,acf_l2,wasserstein,crps,spectral_frechet,mean_rank,wins,n_conditions_used,n_conditions_possible
cvae,0.2594662439078092,1.8883384164031671,5.688894480660017,398.7622862773051,1.0,4,8,10
diffusion,0.3720502741634846,2.9079005107330658,5.968330293997549,806.8116401312296,3.0,0,8,10
historical,0.2762890066951513,2.041094743620933,5.691628917768828,626.5810869218963,2.0,0,8,10
rf,0.3807012289762497,2.918731384109412,5.977852519979773,997.9369543544192,4.0,0,8,10
