condition,acf_l2,crps,discriminative_acc,n_empirical_meta,n_real,n_synthetic
cluster0_weekday,0.2715487993314075,0.12007180542584235,0.805,60,21924,500
cluster0_weekend,0.28187464334273615,0.12094761826208301,0.825,24,8764,500
cluster1_weekday,0.039914725670615464,0.18978717077970036,0.805,60,3915,500
cluster1_weekend,0.04752650699127014,0.18893712349726904,0.83,24,1565,500
cluster2_weekday,0.2272698565589692,0.26431285757775735,0.825,60,11745,500
cluster2_weekend,0.2856800039590719,0.26828078707208064,0.725,24,4695,500
