meter_id,meter_column,daily_instances,missing_fraction,zero_fraction,mean_w,median_w,std_w,p99_w,max_w,robust_z_mean_w,retain_decision,decision_note
0,0307a3cec15787560b7d0ba094f74d1decb2fa72,372,0.0,0.0,13.240240444953296,12.604416847229004,3.401804783622721,22.25336189270018,25.899499893188477,-0.7838369106584292,retain,complete daily coverage; no structural missingness or all-zero meter
1,0f415416ff153479d65f54df3fa9974af46e3a89,372,0.0,0.0,22.99509983475063,21.091527938842773,9.107816641275972,47.59966613769531,61.30799865722656,-0.008674599759845962,retain,complete daily coverage; no structural missingness or all-zero meter
2,1caab5f0e80231e1c6fdefc00edec4fdb6a02c5f,372,0.0,0.00044802867383512545,9.776416392311768,9.571444511413574,4.124562173921106,19.66152057647705,23.763166427612305,-1.059086993709343,retain,complete daily coverage; no structural missingness or all-zero meter
3,27fbb11689277a30f5db9c71b42e1d3826bd34ff,372,0.0,0.0,23.408986727984146,22.43647289276123,10.648255664348104,53.093360328674315,65.16327667236328,0.0242146001547203,retain,complete daily coverage; no structural missingness or all-zero meter
4,2ce3e7e1a5365dc54c7f4fc6284f0052397702b9,372,0.0,0.0,42.29690579338313,39.479055404663086,15.279126260599298,77.52513427734374,85.6155014038086,1.5251283915019753,retain,complete daily coverage; no structural missingness or all-zero meter
5,2d837275047e5fdce39fda42b541dbf6c858a4d1,372,0.0,0.0,42.36349907378569,41.05002784729004,9.175313242298262,63.44553798675537,70.5806655883789,1.5304201747111883,retain,complete daily coverage; no structural missingness or all-zero meter
6,350c6b9720ebb1e1a04e8f88ad0fa114c2af77b3,372,0.0,0.0,43.06088825034839,31.576111793518066,22.482575509700382,94.71727638244629,105.55438995361328,1.585837662969954,retain,complete daily coverage; no structural missingness or all-zero meter
7,39f06481738604cb5916dce15639e380514b99ca,372,0.0,0.0,15.992325562089148,15.979583263397217,4.735008200910978,28.182522506713845,37.12383270263672,-0.5651446082947611,retain,complete daily coverage; no structural missingness or all-zero meter
8,432650b919537d23cb4054fdb85a07eecaa4524c,372,0.0,0.0,23.213427015343235,22.21666717529297,10.22360580519505,46.94114112854004,58.55638885498047,0.008674599759846243,retain,complete daily coverage; no structural missingness or all-zero meter
9,49228b90116c6075fabcd8a1cf0e48e016373614,372,0.0,0.0,22.036370298875276,20.602499961853027,7.455773046943171,44.42160476684569,62.31427764892578,-0.08485929631561095,retain,complete daily coverage; no structural missingness or all-zero meter
