condition,acf_l2,crps,discriminative_acc
cluster0_weekday,0.24534748999408365,0.13812745605793694,0.7
cluster0_weekend,0.24225215256904864,0.1391624183602736,0.84
cluster1_weekday,0.15393511950969696,0.23342731997851385,0.7766666666666666
cluster1_weekend,0.10879497230052948,0.2173386808038432,0.7433333333333333
cluster2_weekday,0.24227968581839354,0.31029776764606304,0.7
cluster2_weekend,0.3120649101386397,0.3109409187719444,0.68
