quantile,temp_normed,syn_mean_total_Wh,syn_std_total_Wh
0.1,-0.9273560881614684,703.5239868164062,1.9409314393997192
0.25,-0.5181784629821777,704.9037475585938,1.8701425790786743
0.5,0.03501978889107704,705.9696044921875,1.8074523210525513
0.75,0.5545012950897217,706.235595703125,1.7818975448608398
0.9,0.665995991230011,706.3180541992188,1.6308702230453491
real_bin0,-0.9435313940048218,892.0479125976562,161.45376586914062
real_bin1,-0.36767977476119995,801.9781494140625,174.89599609375
real_bin2,0.04934234544634819,680.6190795898438,124.22252655029297
real_bin3,0.4908241927623749,634.7651977539062,175.44334411621094
real_bin4,0.7190386056900024,622.8328247070312,175.74107360839844
